,female_effect_size,female_p_value
vw,-0.23608195477457525,0.6834086810651585
artistically,0.6664075961132542,0.0905850555548835
pretense,-0.06148516405365181,0.5446000488617624
disarm,-0.7885998455586051,0.9435444447286337
opioid,0.45652844643630397,0.17752717506953497
rooftops,-0.0450847677261622,0.5386310114479687
PLoS,0.6835287203237707,0.08442792175280589
hygienic,0.6342941762269969,0.10570045906314418
ripples,0.6183775927547192,0.10901340275256466
Lambeth,-0.3333838539333882,0.7511760255934967
Confederacy,-0.7841840765835331,0.9409689307163265
Holbrook,-0.31216154689018644,0.7381968893562367
zine,1.3633666609079629,0.003339180642891515
Tchaikovsky,-0.27900367732321063,0.7052874729448524
questo,-0.9134735434025366,0.9664129630448669
northbound,-0.34075740770337287,0.7502642599240015
3-day,-0.17455061389346593,0.632639053692812
Clasp,0.8290334770402071,0.049986298647591965
dispensers,-0.335494309581513,0.7499492357180348
Crossfire,-0.27516163347967676,0.7134506225702483
drab,0.6428817105329463,0.10330140013024658
ready-made,0.3329547873178792,0.24969287932657225
DICK,-0.7339521768979432,0.932179202206628
betta,0.44834518238243787,0.18263078035729818
contemplative,-0.062534447326809,0.5537216946582424
recognising,0.06641499048935413,0.44412047214081307
offbeat,0.7441388342401807,0.06406469196803977
Mahler,-0.49748684075804395,0.84238728952802
quarts,-0.04225102883310753,0.5351528700367134
keith,-0.8671959155415113,0.9573674360084632
Omnibus,-0.8036899818778276,0.9475050999415211
allele,0.6145434578505139,0.1087823040072633
UPON,-0.05112196477337032,0.5426503067923842
Glade,0.31540319557980395,0.260003718492293
sponges,0.9409051738325629,0.0318563612690983
Corcoran,0.38337312887950725,0.2217973894251779
medallion,0.09784782786004487,0.4186339029326468
Smoker,-0.6968076882322473,0.9201324411481591
Rhetoric,-0.2920938902536754,0.7164054861430269
McClain,-0.3010843167986342,0.7239217368570008
11.30,0.034155864852981,0.4746137388476296
skimming,0.32439866292370567,0.2579395672063396
apertures,0.23598756433008486,0.32009190225380546
Preface,-1.218266594013997,0.9923577589922743
Jealous,0.7037562414217102,0.0807381232368164
drifts,0.006336923154153998,0.49430273662179247
Enquirer,0.8697280072675035,0.03994593824537185
professed,-0.6376110166021308,0.9047474247648999
Lupus,1.081376538263068,0.01502020825536099
