,female_effect_size,female_p_value
aaaah,0.09180310351505576,0.4259555644436104
aardvark,-1.2149681122421148,0.992622052751959
aback,-0.04352716913221271,0.5274403370997643
abacus,0.10259511357291777,0.41695951444453094
abalone,-0.4230126000069392,0.8004748642532326
abandon,-0.16294684618803734,0.6240394743763424
abandoned,-0.19297409122550474,0.6547307723624389
abandonment,0.26735740081406995,0.3029557129030389
abashed,0.013112525030461893,0.4878448834857063
abate,-0.3920032263237121,0.783413585866777
abatement,-0.2718389585636739,0.7118839682318072
abba,-0.8693390891651503,0.9572860294578367
abbey,0.8426807015105565,0.04422361192228896
abbot,-1.2612472376231987,0.9943591235908509
abbreviate,0.3923740516571469,0.22122597635159824
abbreviation,0.48193217191978194,0.16819462141314379
abdomen,-0.1124398367072002,0.5872058434197598
abdominal,0.14328530126821912,0.38849914081903925
abduct,0.17091024039134856,0.3670574079068918
abduction,0.618658763086249,0.10946610572886217
aberrant,-0.24330083567600488,0.6859296822451084
aberration,-0.48051872609440743,0.8282273743121076
abeyance,-0.0962413707452634,0.5747598592652429
abhor,-0.17398942744548726,0.6390439240994985
abhorrence,-0.4329910314279978,0.8076121126843097
abhorrent,-0.02494596149689041,0.5164969303456226
abide,-0.6954076001629711,0.9198900206127136
abiding,-0.6054011275329957,0.8888090871945458
ability,-0.5939606497149684,0.8875175980593011
abject,-0.49266467896885213,0.8357140108876262
ablation,0.07415854096826067,0.44602033398880614
ablaze,0.26050944491112626,0.305232097407361
able,-0.5245158404150345,0.8522682779193237
abnormal,0.30551951491113427,0.27602333132164447
abnormality,0.11067565217861541,0.4166140268591907
aboard,-0.4855115052801185,0.8323133795045958
abode,-0.4166887127509616,0.794530121381523
abolish,-0.9618392580977965,0.9721220750800783
abolition,-0.07874457816179418,0.5645805686869705
abominable,-0.8189275436272944,0.9483134266337723
abominate,0.2697132672745302,0.29587860567149993
abomination,-1.119897773373974,0.9882143522762655
aboriginal,0.38992448982112876,0.21645780531974135
abort,0.9328415713137229,0.031708995746295154
