,female_effect_size,female_p_value
aaaah,0.4682088205828161,0.1739881722065646
aardvark,-1.0591065295797666,0.9814839539389643
aback,0.2742629143562241,0.2914119269176797
abacus,-0.16566159729003355,0.6289379611879757
abalone,0.38871119959309164,0.2222085888561216
abandon,-0.31636814398198526,0.7385833372082384
abandoned,-0.27015900914445334,0.7073376524045539
abandonment,0.709950113481919,0.07509895719543214
abashed,-0.2567865084144147,0.7029617594534747
abate,-0.43023702748183373,0.8141177053453494
abatement,-0.37518486540043783,0.7739754679723325
abba,0.10938307161575327,0.413348397752039
abbey,0.373856078596443,0.2255045680186346
abbot,-1.2260142406469055,0.9930083104955358
abbreviate,0.16251575703464757,0.37243271418966994
abbreviation,-0.15379157555751982,0.6190722090755099
abdomen,0.5661222073246209,0.1254752273072295
abdominal,0.35685828942914744,0.23119147984809496
abduct,0.23717735462445963,0.3182876737491951
abduction,0.5709279974577148,0.12350181278190986
aberrant,0.09063624357184244,0.4261556672757312
aberration,-0.14456955093587417,0.6182996428470544
abeyance,-0.32662590221015464,0.7420227355517746
abhor,-0.34731587574521827,0.7542150898969315
abhorrence,-0.34011964918339055,0.7509317312214714
abhorrent,-0.379353013440198,0.7805519217907966
abide,-0.5910144412333981,0.8807343241563268
abiding,-0.6063785807531685,0.8885914888427133
ability,-0.27997214210477156,0.7066424012736121
abject,-0.23604782866369686,0.6847194943449308
ablation,0.5959351156651731,0.11777448469326335
ablaze,-0.041849672518892135,0.5361819753938826
able,-0.29314200103600646,0.7254852350449621
abnormal,0.45777655591569644,0.1781732786905048
abnormality,0.7322744291156822,0.0742298097427121
aboard,-0.3236308986970913,0.7408117186609939
abode,-0.6492039298056641,0.9006594770614205
abolish,-0.7140460550320702,0.9255260976815746
abolition,-0.5154731987244294,0.8513939902699208
abominable,-1.2586215530375278,0.99433648510099
abominate,-0.005236234223572309,0.49756923681671994
abomination,-1.1808149230863478,0.9900448366034142
aboriginal,0.16982832159601705,0.3715469375434619
abort,1.291509073690792,0.004881400730741059
abortion,1.2017955562849214,0.007465170034656854
abortive,-0.03041396104898302,0.5289321196219713
abound,-0.1338198789937071,0.6051012718100678
abovementioned,0.12599555434589937,0.4021605062004603
abracadabra,0.038123051566911,0.4735966092942939
abrasion,0.42374460646256595,0.19789146037441196
abrasive,-0.4514181615623699,0.8173796275679359
abreast,0.37688924313188576,0.2265442903933098
abroad,0.055004451714488166,0.45249288171105884
abrogate,-0.4256004184328717,0.8024233403209449
abrupt,-0.1049486941981391,0.5794830250369823
abruptly,0.08373103956092845,0.43952983292890935
abscess,0.5163093446706202,0.150981925440281
absence,-0.6807030751883528,0.9124680917244705
absent,-0.31500241887468344,0.7308996554254346
absentee,-0.6904313974660535,0.9196963963589144
absenteeism,0.2037195318129417,0.3447979000372903
absinthe,-0.1830989138432581,0.6360094387333013
absolute,-0.2459350594235757,0.689008282387316
absolution,-1.1326467853563515,0.9871048895518614
absolve,-0.8859814356119815,0.9626229821863077
absorb,-0.06831541805626777,0.5459718944903176
absorbed,-0.0019407034165216316,0.5022298716730651
absorbent,0.2190498399811839,0.3294752296972142
absorbing,0.07647511720092864,0.4374086649662322
absorption,0.007053414089196569,0.4862390295932769
abstain,-0.41838427165686237,0.7939797923899267
abstention,-0.313640565086164,0.7286855278013606
abstinence,0.658533202473161,0.09223024597816476
abstract,0.23517150684137614,0.32506538852799105
abstraction,-0.1454938087825057,0.6177531979749853
absurd,-0.5149012861274299,0.8457744130309472
absurdity,-0.38229258758987994,0.7826503404607617
abundance,-0.019872004517582035,0.5195580464676025
abundant,-0.2336904179950491,0.6813381965054642
abuse,-0.030485848081361733,0.5229761608090372
abused,0.4143095871798374,0.20409542823590554
abusive,0.3080856641041595,0.275634532309198
abutment,0.28531943022235345,0.28642057656638353
aby,0.23189716172400943,0.3211660379987912
abysmal,-0.44257571565562176,0.8100121649874373
abyss,-0.3405689935408582,0.7469192455718605
academic,-0.12768215279594633,0.6047276294242776
academy,-0.8064891173904711,0.948015614678911
accede,-0.4662245316431884,0.8188068545229574
accelerant,0.13789865895975223,0.39196390203651055
accelerate,-0.4222148802876812,0.8050031899219181
accelerated,-0.3002967345476965,0.7273699506820498
acceleration,-0.952122053648463,0.9724906284740849
accelerator,-0.5206454295559387,0.851089737181772
accent,0.5154476524314302,0.15018597953101864
accentuate,0.8314271501113717,0.048062335198367445
accept,-0.5076221798202503,0.8425972197884393
acceptable,0.0001190483062088073,0.5048647694193998
acceptance,0.12864543412079224,0.4026000578291945
acceptances,0.5010530143016194,0.15939505519845554
access,0.14977182662228522,0.3835231125994246
accessible,0.18348038398789582,0.36099318314026907
accession,-0.6625154903549345,0.9080142480542668
accessory,0.7649745027177529,0.06293033404856185
accident,-0.14734208899780202,0.6143344418475309
accidental,0.46062399257784664,0.17873487412156508
accidentally,0.12853725861146462,0.398216296214969
