,female_effect_size,female_p_value
",",-0.07167963854458052,0.5497152483556514
.,-0.7114064177318429,0.9174414338363841
the,0.18693015791711345,0.3551839460224687
and,-0.18469154186086223,0.6455404212435821
to,-0.4494001723245387,0.805095496949281
of,0.0729524877342972,0.4487598583646373
a,0.11977907736371696,0.41310587964525336
in,-0.5281870960515092,0.8455580189851026
"""""""""",-0.4564953792160165,0.8136113582256328
:,0.19946086016952813,0.346003706269604
is,0.038908287490740164,0.47124188796507605
for,-0.14045564279382,0.6008506791445062
I,-0.5455260913376767,0.8556309763239545
),0.3632346008929746,0.2371194994503134
(,-0.0998516780696926,0.5688257169995359
that,0.09873149147146412,0.422293626498106
-,-0.511472411638129,0.8427016786823196
on,-0.7107026659380461,0.9139685319614106
you,0.014960259124960486,0.48920827316815285
with,0.35404425431897163,0.24727640972614706
's,0.28557568308209974,0.29400611649155084
it,-0.058297962219470645,0.5427781241015921
The,0.3082806298905192,0.27774777985255006
are,0.15171387526553506,0.3847863160634599
by,-0.2509745914626703,0.6894298382196375
at,-0.1959327324175981,0.6542116291276902
be,0.03480607042241459,0.47634854198546694
this,-0.1699340354179604,0.627302936330471
as,-0.5118340036895584,0.8408304638992714
from,0.18665605437281685,0.35104259847276753
was,0.039504209736458414,0.46832906290148946
have,0.8064396715195031,0.06027977626125813
or,-0.11468435909434148,0.5906895675776229
...,-0.7092437414974401,0.916390773110149
your,0.24712238157295008,0.3193200310310317
not,-0.16347203165622853,0.6212461858658611
!,-0.4184726339993224,0.7833135080564182
?,-0.7660126910296319,0.9321677367612602
will,-0.5465016421333999,0.8570859770912109
an,-0.08958371538352163,0.5664224026947422
n't,0.12093607245846864,0.4061363930046822
can,-0.2999549169696795,0.7219945498213387
but,-0.7572449842719514,0.9275588942364872
all,-0.3163845066775718,0.7247381028783554
my,-0.1912206160203882,0.6501511196107894
has,-0.04408765550006297,0.5390855159827146
|,-0.026529662729291022,0.5250585474977468
do,-0.6612233433831639,0.9038832712993696
we,0.18936451957190917,0.3675225557292967
they,-0.0790972855028931,0.5589200064366786
more,-0.6113722024684195,0.8815605799236551
one,-0.4514688149587215,0.8062479714630023
about,0.08525440668874296,0.43312335773581867
he,-0.5677070634087139,0.863171236234437
;,-0.11926814939403639,0.5987213212728459
',-0.7980449545132889,0.9383653696457889
out,-0.18789680499103478,0.648785977946295
$,-0.23052043414738055,0.6769407380003029
their,0.20317948965676805,0.34662359309338575
so,-0.7326304748799068,0.9202514398728181
his,-0.6368215224949412,0.8890073286567024
up,-0.14634190987401868,0.608897830437546
It,-0.055030660613194095,0.5397168395556271
&,0.2422327896456443,0.3216922449153019
like,0.0913298023230041,0.42552025914211367
/,0.2539757251871439,0.31532303031664366
1,-0.5068854518162643,0.8370957748726378
which,0.22306131070993246,0.3367493873761096
if,-0.24951169398493805,0.6917304977853165
would,0.00042768064336987175,0.49587549095947925
our,0.15327769673510686,0.39030061371487557
[,-0.2949998829283482,0.7144207749506972
],0.31471479639228594,0.2704112167341267
me,0.003141172088574978,0.49214035541156453
who,-0.1324250626030104,0.600092811526616
just,-0.3812281131646785,0.7725424908599997
This,-0.09303574355991408,0.5660886382790009
time,-0.3938432705495952,0.774062831897226
what,-0.060304969384548456,0.5450101367002091
A,-0.09254433016961211,0.5718578385845499
2,-0.10795676844027761,0.5866373208564989
had,-0.30399492363798175,0.7185598695893536
when,0.029908373211363144,0.4774011705604507
there,0.14311290744547023,0.39277489494997686
been,0.020418381344802804,0.4809930746257465
some,-0.009501809435297558,0.5051869058159077
get,0.16906127538666607,0.3714665389136008
were,0.6041720696044677,0.12249323345109142
other,0.8197187014189566,0.05706674366536113
also,0.07144767636671544,0.4484796739861028
In,-0.4972990342006536,0.8289500573657604
her,0.7929016479276301,0.06313739638861782
them,-0.11970349948946424,0.5879121995926945
You,0.08291216406595014,0.43961214757009504
new,0.23054598166779647,0.32755362427924384
We,0.2599878712393745,0.3035058070683405
no,-0.592388310536621,0.8716553498913621
any,-0.18230640434415443,0.6386179387390536
>,0.16866033719727458,0.37165545936795386
