,caucasian_effect_size,caucasian_p_value
warrants,0.5858029730018027,0.2003534747147968
thunder,-0.44176176955463897,0.7308739295450947
mistress,-0.650869033919283,0.8261135495919474
sightseeing,1.1318534833046374,0.055475743583835
Tradition,0.9745786727797733,0.0834420862593015
é,-0.2802675039784754,0.6525695642508206
forwards,0.11871247748775181,0.4270086337791992
5.4,0.8011785274087008,0.13120370109873658
259,-0.26470132254662115,0.649681545642891
Kai,-0.23958227320438574,0.6324664752224941
criticize,-0.39602669527482426,0.7086432991587462
disappoint,-0.6748233356875902,0.8315452898698241
Associations,0.31040964960280315,0.3345655766123643
shareholder,-0.10734364512523259,0.566045712779857
currencies,0.6445226916807104,0.18225748163330513
RESULTS,-0.08928621346375838,0.5411427157381336
acupuncture,-0.26549869048749375,0.6511641607956173
pointers,0.8774110459526799,0.10951319043805796
hull,-0.24679135966191615,0.6311026327955459
Stark,0.06167211454495767,0.4630723385336656
Flames,-0.7476679035280344,0.855057767300882
Beginners,-0.06413103420564682,0.5403704374356654
Hostel,-0.1057681132879194,0.5561692430768173
previews,-0.29444762664552476,0.6537134060510287
Rx,-0.46477912976328206,0.748401010196124
peach,0.10578807326637796,0.44069438814658435
terrified,-0.5439678913452569,0.7778267089142401
statutes,-0.5013286779230907,0.7573799953585281
DONT,-0.26480820798258903,0.6532990616167755
277,0.05476720443631182,0.46643127171787024
pussies,0.656308120587567,0.18127078750844616
Diagnostic,0.09172328005387616,0.45440821693931843
wary,0.02256536397346675,0.4811612013652071
fluorescent,0.43056079759713684,0.27206206694061164
resign,-0.2208856524818593,0.6238403607055085
psychologist,-0.07896478437288702,0.5480021499869223
eclipse,-0.5496507988934852,0.7847006354966493
rogue,-0.789491145806807,0.8661964291120585
incumbent,0.4129380799640555,0.2793366557110789
Donovan,-0.5400398837415757,0.77536440568741
elders,0.5264292652853731,0.23199088728074813
gradual,0.21471599729032662,0.3778596555781194
Dhabi,-0.849464266278867,0.886402834437482
coded,0.1166955484478883,0.42842841597626613
cooks,0.2559357257005919,0.35638381431234856
460,0.9183634559279941,0.09856900325488271
didn,-0.7827023291656982,0.864730113879461
stripping,-0.45377609583037737,0.7390875836814802
px,0.3110427219381504,0.32914577835519465
Milf,0.19355942986736108,0.39880599084297164
unsecured,-0.8469503419746057,0.882087592340276
capacities,0.9100064130285389,0.10086765284392041
Horizontal,0.9543351467941945,0.0871774272400796
carolina,0.8139877875729234,0.1275968008876689
Confidence,1.0151914875626165,0.07726701655585233
experimenting,0.39798126070873774,0.28136720105914037
pesticides,0.6656015376008303,0.17410916731590653
minors,0.2553622200347834,0.3614469673254156
jesus,0.015408290054845298,0.49146062711841865
dev,-0.8808901177284924,0.8930134305426828
separates,0.3762173336573351,0.2962263078545537
imaginative,0.5458335658551061,0.21474707253710013
banging,-0.6296289465743696,0.8141298260234946
860,1.0973481534372427,0.061063732659094594
Lyricsby,-0.9940681506896084,0.9233910251257725
Sgt.,0.014021318240179362,0.4927234886532398
neon,-0.29504622434615574,0.6642520526682666
Genres,-0.32603286037011864,0.6776807943341228
poetic,1.2795510626765465,0.037579164586993064
ineffective,-1.0021546545578301,0.9193034972570501
malls,0.004969797370546144,0.49727943905720895
linebacker,-0.5845714058526412,0.7932978142318108
characterization,0.2466324951166146,0.3720238474703239
Franco,-0.45131222688957134,0.742470972001705
marching,-0.011351020538001931,0.5105956196044582
Quincy,-0.3213877107243871,0.6735288077439148
optic,0.1843358798956997,0.39315718035755065
Torch,-0.7567787770663723,0.8576233781071287
Bethlehem,-0.2380675426284019,0.6307831007634632
Tory,-0.6455687023634124,0.8214799798547399
Illustrations,0.7649875390114232,0.136695549919559
stray,-0.7518842227068668,0.8560748289224624
declares,0.3172678094002718,0.3291536547134959
carbohydrates,0.3883366404315626,0.2911247483380336
Clemson,1.1347585301835956,0.05461985020137905
