,caucasian_effect_size,caucasian_p_value
calculate,0.2680132077354433,0.35173773237318895
printable,0.8163706811080981,0.12727564697638583
Opportunities,-0.2950468765053324,0.6643927314581592
dryer,0.13584797155725922,0.4156858054719532
pulls,-0.4928153717823264,0.75421544560044
meantime,-0.6647556615956979,0.8268451878024117
battles,-0.6124892073693148,0.8062786265314605
purely,0.5722804227506361,0.20695378425718736
hooked,-1.1444388282776843,0.947371359791788
CLICK,-0.6543265798207283,0.8271632127190885
complaining,-0.1778061754988345,0.5868491241059859
Wing,-0.18568010375159147,0.5976095345050086
Tables,-0.2914037134738514,0.655835028989713
pickup,-0.19213945309901823,0.6006268351759014
Domestic,0.5659557729797684,0.21659852825261838
UPDATE,0.0642182537743604,0.4642364010668316
ml,-0.5416602098323365,0.779690330549734
1962,-0.9751423843736357,0.9150413532897406
applicants,0.9168107774747497,0.09784895132692906
Famous,-0.9201988237275484,0.9053554186968349
Minimum,-0.8533390899587057,0.8840557895432524
sofa,-1.2776825005693047,0.9649179155329783
nominated,0.681808299994187,0.1690133352702221
Guidelines,1.2891093371183295,0.03302613289083933
Drivers,-0.33120763078873805,0.6801026659658452
ebony,-1.2174805910956847,0.958553177558338
Boss,-0.87593785963948,0.894566309989384
Imperial,0.4616855699895023,0.25353230574342556
Pussy,-1.165061181482237,0.94937373354749
!!!!!!,-1.2411309900977725,0.9587573716564793
investor,0.43754028064773703,0.2741339686677282
surfing,-0.05903995608755425,0.5373637662319513
Bella,-1.2419030627966996,0.9584030253060072
keygen,-1.1929551113079997,0.9541897113245507
1970s,0.2835536240140844,0.33993576371258927
bleeding,-1.4431390266601387,0.9798283455055179
administered,1.061696947562007,0.06625243692563665
revolutionary,0.5587101503825119,0.21510423761146458
avoiding,-0.9932826973236482,0.9195210398388185
fare,-0.5670205585221988,0.7899204276010757
inevitable,-1.3031167301243207,0.9685977962574893
assisted,0.08157158343848195,0.45134850104922863
Lol,-1.4725387034734765,0.979942033714228
flies,-0.46816851588596564,0.7518755842250517
Newspaper,-1.2701776925296728,0.9632654725451796
Closed,-0.3724783321612974,0.6962411131144403
slice,0.2423126675073431,0.36054676350051096
911,0.1124180621021285,0.4415410863100615
float,-0.002685489351917327,0.5008541401816462
renewed,-0.2633177259576948,0.6424131917829484
attach,-1.2723646337697616,0.9637108443766351
Changing,-0.4020575833383534,0.7137859239559985
Object,-1.0617457040280314,0.9333804653936353
cocktail,0.19640484910671868,0.3952544555889942
dildo,-1.29506674524652,0.9664058699804814
surveillance,-0.030722899279498554,0.5205797650567603
soda,-0.3511024339226828,0.685577993562619
Mint,-0.44567768919663314,0.737726605954816
prohibited,-1.3711945099055738,0.9740173054182548
Timothy,0.17045883094051423,0.3992302196394535
ref,0.05755978936564428,0.46695569230562173
integrate,-0.2579880523874989,0.6451510187312914
pharmaceutical,0.9929273964288052,0.077785004310429
24/7,-0.07341524546332229,0.5483643041445547
documented,0.9943849357817425,0.08061277168995373
characteristic,0.7704415425513861,0.13487116915587816
smartphone,-0.7408318703822531,0.8483857662591365
jar,-0.9951302074138894,0.9219692694709225
Dynamic,-0.5431831784848568,0.7783947796809944
algorithm,-0.30480709460559374,0.663652907675792
Absolutely,-1.0292419244390725,0.9288970352443267
guards,0.27256302884603284,0.3541389322357814
yarn,-1.1256356090078605,0.9445061276062398
Ronald,-0.41133819373750585,0.7218057322598825
FT,-0.4527847819279529,0.7361045945014001
Independence,-0.3183203481792947,0.6724195241480919
-----,-0.24792064458774735,0.6294611551659739
typing,-0.7592906766622127,0.8520292920290908
Duncan,-1.6447387788122447,0.9903603865037787
HDTV,-0.7157875077621,0.8457329008795635
assembled,-0.30901906567279575,0.666279676681514
Period,-0.570112889589406,0.7957031463005989
locks,-1.1148805975161895,0.9430696961002686
Partnership,-0.12308971508644573,0.5601042381805654
Banking,-0.3010089919246591,0.6654306170392691
rifle,-1.2282308818647956,0.957975250359056
Rest,-0.18712590621516423,0.6089812215804143
spite,-1.0109820666764582,0.9221543932770158
vaccine,0.7609831819214559,0.14444835349910834
weakness,-1.0591416801219278,0.933114130959832
sandwich,-0.19994611648654606,0.6067710877827639
Deck,-0.7726351547739574,0.8619962631241956
sins,-1.2118797902931089,0.9546460426413125
disposal,-0.2779549012576667,0.6581778345974666
farms,-0.4759535077440754,0.7526894454686486
schedules,-0.34969625245395775,0.6918299855499688
lonely,-0.7678435597166221,0.8573873242915425
Sister,-1.5026598153287285,0.9822152311333782
cattle,-0.16848173268400507,0.5944379133345581
Thought,-0.16235770006653977,0.5816138582115339
PT,0.3155923824634318,0.3265909052665704
organizing,0.4601995503166577,0.25455769100800574
devil,-0.9174696046200537,0.9044835794292221
consultants,0.8250158170694,0.11828063408511713
mill,-0.6860201324882718,0.8388435368873902
Haiti,-1.4484722047416203,0.9804136059733511
kidding,-1.641425130631644,0.9910645864787763
firing,-1.4767166805406866,0.9811683984442525
integral,0.07024633237830116,0.4591373793891642
instrumental,-0.7890693162896191,0.8697340126672463
Christina,1.4977957582858334,0.017667423754711642
Cal,0.0892781170767253,0.4527415976109106
transfers,0.3889388006183777,0.2932519297485894
Coverage,-0.17502434199626515,0.6024459972165961
Generally,0.13864477669443712,0.4177178272104761
9.99,-0.6516197069200196,0.8223466452634842
Lesson,-1.0265662728193523,0.9291489905401672
Wake,-0.4092323447328622,0.718340478999541
functioning,0.08526300789152562,0.4538153327822537
moms,-0.4412003973690142,0.7337181954056025
mandatory,0.22936227216028174,0.37179427336040116
Neck,-0.7413910889710646,0.8501491744699424
internationally,0.5583075222659224,0.21405211936315083
minimize,-0.3488531817169794,0.6910788432252604
Handle,-0.5828277350102733,0.7887703515705891
BP,-0.35488622510474527,0.6940776677741043
nylon,-0.45461404103668335,0.7386628469589558
LIFE,-0.476823998461561,0.7439489980640606
transmitted,-0.616513765167997,0.8059432901495998
AU,0.1898763883341058,0.396572441767846
Acts,-0.539974200567409,0.7817528013187719
planted,-1.0342345750002615,0.9297422977624304
Lesbian,0.5087137472434461,0.24041037602623383
Calif.,1.1086785275367925,0.058273118869126006
applicant,0.6359232419431081,0.18232792276435927
charger,-0.875428043333613,0.8950835929633587
invented,0.44679564214885525,0.26342005825710046
specification,0.7303509558021454,0.14989728735199437
Kits,-0.3213362839804506,0.67287534833729
Decor,-0.6892199668024301,0.8302050903362601
Ft.,-1.2291145674190034,0.957760432808021
Armstrong,-0.15850230676470425,0.5811125551563784
SP,-0.8387887670613606,0.8790215806384536
roller,0.5089045621850112,0.23039891552478653
renewable,-0.07410140665903052,0.5373703704413871
hurts,-1.3682405167741893,0.9741213581650902
Cancel,0.059478245060883096,0.4596405099618671
viruses,-1.2857174233893633,0.9644022433249686
conspiracy,-0.5363802260380387,0.7762720857627661
fifteen,-1.170199909044637,0.9482503268749308
Provide,-0.5465812744423929,0.7818731551069744
graduates,0.7665377114603393,0.13733957110424977
upgrades,-0.0452703748827777,0.5252108424767941
co,-0.3732109200986139,0.7028857753919817
hose,-0.7848975226024463,0.8660930882518973
MTV,0.18978423790411747,0.39404257870312476
Residence,1.2233575597922812,0.04049190079367326
farming,-0.09531926405920488,0.555693092688794
whatsoever,0.12306264029962795,0.4308461417844782
Gov.,-0.7980154281701503,0.8700327996285575
mapping,0.13539606012165442,0.42209510726754995
Parish,-1.198681162200344,0.9549648888841088
delightful,0.3087419466756782,0.3371144704010237
Tan,-0.9236435659152702,0.9029205827952798
boasts,-0.10486899023676345,0.5628968830515442
highlighted,-0.8636198751587598,0.8883644463877076
Opinion,-0.5576930075547895,0.7893962767974814
realise,-0.5253551678286189,0.7674704332878093
touches,-1.2239297732180383,0.9561598230462688
litigation,-0.1894090543024117,0.60025099734492
phrases,-1.286779637069682,0.9653251111658547
Worship,-1.1395778296612713,0.9457875180681858
