,female_effect_size,female_p_value
",",-0.7605856342842447,0.9264988798294652
.,-0.6407164604526452,0.8908213821037068
the,-0.6036575073060264,0.8792511462229584
and,-1.1899284359290483,0.9896071973984099
to,-1.196743576352423,0.9890924383637937
of,-0.9184924460574869,0.9613801706247996
a,-0.26030451610166105,0.6996690111670405
in,-1.0756021776237448,0.9811382772377373
"""""""""",-0.39411679541868144,0.7834500716667265
:,-0.6769622919357339,0.90924443425458
is,-0.5125787128254238,0.8459856015296736
for,-1.0503617657282873,0.9792856908013515
I,-0.6912181510691862,0.9090754096400897
),1.025575961202592,0.02530014801980307
(,0.3827609587598952,0.23323318848242647
that,-0.9932992876952633,0.9734359764243234
-,-0.529827001819996,0.8417248742229175
on,-0.8693787265381028,0.9550963375115398
you,0.13633879058994097,0.3924453095873094
with,-0.8432006861032407,0.9477592848436632
's,-0.4563808042257958,0.8117483630798192
it,0.3499092907535909,0.2517022266055172
The,-0.6825926722023828,0.9080888269198322
are,-0.5095768521638783,0.8364731114038297
by,-0.6740225911517358,0.903836918000711
at,-0.9703537383295082,0.9687213496595003
be,-1.131110441149105,0.9852869613270221
this,0.27339876351033354,0.2996111538180306
as,-0.47815950129651785,0.8243331878280855
from,-0.7745510725245635,0.9323966138196997
was,-0.7063849944060372,0.9128830791896441
have,-0.8751715982553182,0.9528732520127229
or,-1.2423469925065942,0.9916930060104775
...,-0.08409452956924872,0.5693525521666811
your,-0.010804986804710419,0.5113359459364388
not,0.12179183059034913,0.40828384322490274
!,-0.16453126019177378,0.6316971683783253
?,-0.27719430856964805,0.6963013006801368
will,-1.3050733045658707,0.9936188591884112
an,-0.5343485807179568,0.8525565252055849
n't,-0.27786048719691997,0.7060332822595833
can,-1.0482091317626385,0.9785710355641046
but,-1.2334624731157284,0.991115755475982
all,0.12440868250060783,0.4077898977257003
my,-0.84155793543915,0.9480725924349913
has,-0.634851146077067,0.8913731365629756
|,-0.5892064188510935,0.8730043856638345
do,-0.4651379688206309,0.8218236153258636
we,-0.915713771842474,0.9613038503794954
they,-0.07105981539931876,0.5508889631450226
more,-0.15707490320966083,0.6261372576649672
one,0.25109892742924594,0.3093435651605443
about,-0.7925121355784933,0.9384852074705172
he,-1.2406470164894254,0.9913892273793179
;,0.2240983151063742,0.33424867457508944
',-0.7446872128632542,0.9251183836745719
out,-0.023255496414790022,0.5221214026959953
$,-0.3717659570273966,0.7591635305417321
their,-0.16689900605288369,0.6283046862452983
so,-0.5097653753740887,0.8319669574501729
his,-1.2544049148596372,0.9927267323412241
up,-0.20166619989176424,0.6478360773681622
It,-0.14781735665976503,0.6086862816194758
&,-0.8392643915845016,0.9483011789654519
like,0.2010382474043782,0.3508450117193651
/,0.2682136739182901,0.3009104582514657
1,-0.10959475436302286,0.5888211798858236
which,-0.8096630295168847,0.9419622675098668
if,-1.1574621699022685,0.9871179260165986
would,-1.307859445860047,0.9943594122880965
our,-0.5601354361404511,0.8626634118860266
[,0.5664646957064988,0.13694997491204353
],1.007489425823853,0.02486247133926589
me,-0.22107208234729486,0.6675325254355786
who,-0.5759204505656845,0.8685776862374092
