,female_effect_size,female_p_value
warrants,-0.16078111383617963,0.6227287107082871
thunder,-0.1595596461804259,0.6246288779754224
mistress,1.6532193716976766,0.00047776808333266363
sightseeing,1.0439520238713684,0.018421384305086663
Tradition,0.8685915350148389,0.04394860635870512
é,-0.9420660396112012,0.9693777030854317
forwards,0.025235505214109066,0.4816230022724991
5.4,-0.05853251059865105,0.5441824517081675
259,-1.2052416570288536,0.9922700596921524
Kai,-1.6018859507955912,0.9993540156721972
criticize,-0.13797404030656982,0.6033304059233288
disappoint,-0.13440044874218787,0.6091313637421985
Associations,1.1406909421749716,0.01058945259931443
shareholder,-0.05272623806957377,0.536189128969925
currencies,1.1058818977519242,0.013897818988731436
RESULTS,-0.583003897479917,0.8809054459709698
acupuncture,1.1203657036767642,0.012273343369180068
pointers,0.014759534301123551,0.49466287200095094
hull,-0.951095058174014,0.970384828483622
Stark,-1.167732362060163,0.9904356174304464
Flames,-0.42713240027647936,0.8056788889712478
Beginners,0.6325805023112172,0.10405765606637196
Hostel,0.21740367074704026,0.3332686264207583
previews,0.568450259409783,0.1326976195412517
Rx,-0.7615825738492077,0.9359319950499319
peach,0.8295846638072728,0.04914839881256783
terrified,0.03590800396618217,0.46671852275368797
statutes,-0.9814533939935335,0.9740157583339968
DONT,-0.38958672856146165,0.7785036521240676
277,-1.009957353804092,0.9762799620991888
pussies,1.164541879019993,0.010408507792719957
Diagnostic,-0.4201380206952514,0.8031215670217151
wary,-0.10210569527924013,0.5819344707565405
fluorescent,0.2622604286040507,0.29745240512875726
resign,-0.22119408121803177,0.6715845451336494
psychologist,0.3530402641513336,0.23800956916218974
eclipse,0.5034795230925245,0.159183602633038
rogue,-0.46119795960787013,0.8214623465342775
incumbent,-0.1980395605926926,0.6571448079485993
Donovan,-1.194404725406284,0.9918669324896618
elders,0.8376004497046894,0.04511734265670553
gradual,-0.7344868900185192,0.9292917708402297
Dhabi,-0.4394639264998283,0.8105170982622294
coded,-0.7981364390665553,0.9465465208078289
cooks,-0.642040166950862,0.8986743537473754
460,-0.27637323357435406,0.713647626755576
didn,-1.0119416982025817,0.9787334567620106
stripping,0.9660687568293751,0.027519036372436023
px,-0.5849556558349011,0.8816681059102514
Milf,1.2140469504218854,0.007621648401591963
unsecured,-0.34069235574678136,0.7501468984869293
capacities,0.1264844390261356,0.40296236882458514
Horizontal,-0.31562701949013006,0.7362678546132134
carolina,1.3577299819565247,0.003349597350106648
