,female_effect_size,female_p_value
",",-1.0250342931070913,0.9818322891314784
.,-0.8505923069528585,0.9569953657535685
the,-0.6453213887602598,0.901020597893076
and,-1.025401285328805,0.9790718732306674
to,-0.8729131216682569,0.9583949361306278
of,-1.010196768042265,0.9780158943781874
a,-0.8887973123205025,0.9644039378890065
in,-0.8673474637523173,0.9588569761585515
"""""""""",-0.8093089070159724,0.9433400688764261
:,-0.8626826434095309,0.958376832553117
is,-0.4573042300390554,0.8185572125503664
for,-1.1590213715599893,0.989320125467096
I,-1.0100865364633358,0.9778361330347539
),-0.8429693985135589,0.9554379610281782
(,-0.9470162683866684,0.9704620494472673
that,-0.754479157092679,0.935301427779267
-,-1.0646202758399654,0.9837606166659995
on,-0.7709992869882166,0.936812496020191
you,-0.7699229496806937,0.9368890546692746
with,-0.8576555913955276,0.9561637277756126
's,-0.2951739396495173,0.7201951731388099
it,-0.5620445320034727,0.86954344127823
The,-0.733209540131249,0.9286842948790527
are,-0.5504251866857056,0.866295670623576
by,-0.970214225953892,0.9710419208054842
at,-0.843238041035293,0.9556962625713762
be,-0.8478758238771787,0.9564875067429299
this,-0.6082707922725717,0.891656383716485
as,-0.8075720503372075,0.949540792943493
from,-0.7342310966152485,0.929210469812023
was,-0.547429388337585,0.8670022803971662
have,-0.6729197204756799,0.911123597443281
or,-0.856090291661875,0.9563232206705721
...,-1.045927853048693,0.9820589334738961
your,-0.42747473754524135,0.8030222537857408
not,-0.6135493071236015,0.8903761119182048
!,-1.0513537623717817,0.9808786344241377
?,-1.0758494890111854,0.9843785471927742
will,-1.2585159418560141,0.9940169198792059
an,-0.9119881070909157,0.9648134226249296
n't,-0.6720915274572528,0.9060309018309016
can,-0.9140798708179748,0.9664225974396453
but,-1.0545908046781338,0.9827007849526123
all,-0.6058648644230089,0.8893096458674796
my,-0.47948174928360027,0.8288507845815063
has,-0.5535122433671461,0.8573405754655002
|,-1.0821476424130911,0.9839798241555916
do,-0.8154815981053513,0.9479886513094063
we,-0.6258031082248151,0.8961493847773809
they,-0.5126378644848221,0.8471579508665392
more,-0.8022652072494174,0.9450391278613953
one,-1.0199269153852992,0.978210385390509
about,-0.6516197610005396,0.9015066153796369
he,-0.640013448969762,0.8996684414797259
;,-0.8406596991550359,0.9526050613977393
',-0.7941488541987047,0.9442246790387576
out,-0.7045559636324258,0.9186680542608197
$,-1.0549153512966079,0.9830597325787527
their,-0.31119579282223137,0.7336824829708277
so,-0.9361157534397071,0.9691951466490274
his,-0.5480167650879431,0.8656764401855296
up,-0.9139961022577004,0.9667029899962393
It,-0.6059398988893848,0.8867525384033494
&,-0.9547127470535774,0.9740178379062053
like,-0.8338839296119026,0.9499279881904243
/,-0.6884772663716024,0.9173184004415171
1,-1.209312993987922,0.9919172060044833
which,-0.46827331616922246,0.8252699596330415
if,-0.7290953225376872,0.9267539993169209
would,-0.6198850717161082,0.8928023350209815
our,-0.3851472652370745,0.7854601283440936
[,-0.7774207139105618,0.9395463824381838
],-0.934191566303664,0.9694779715315971
me,-0.6144749467214229,0.8914388010915442
who,-0.7065065243466867,0.9212344509017851
just,-1.1091380013792598,0.9858452510799144
This,-0.46936638815379617,0.8313774908919412
time,-1.4993008234509204,0.9986830178481536
what,-0.8224424050938777,0.9506102811822477
A,-0.9623968685462947,0.9735502987722099
2,-0.6770490162468037,0.9086540769648864
had,-0.7051458530498917,0.9189281879607774
when,-1.0212200495507435,0.9790201778436073
there,-0.4707898108079598,0.8255336707797157
been,-0.6523733541716299,0.9057588164453532
some,-0.3914961944289693,0.7816051085950455
get,-0.6405120801654404,0.9018675266008996
were,-0.5605722068619077,0.8713056399626109
other,-0.5315388057875741,0.8567896347751847
also,-0.5419936542928612,0.8583736195626896
In,-1.0309857248106322,0.9800554467866376
her,0.5740147064452851,0.12617132597215353
them,-0.3885111766227234,0.7830254090714364
You,-0.7475945958238743,0.9316908392391637
new,-0.42287893726596604,0.8019318257196755
We,-0.6791407627035595,0.9098224741466081
