,female_effect_size,female_p_value
warrants,0.24871468242880862,0.3150087583266006
thunder,-0.8245735646539074,0.9507615956550076
mistress,1.5468800569567174,0.0009018249250895005
sightseeing,0.3390026544644188,0.24341016149855055
Tradition,0.572813116857079,0.1267460300221379
é,-0.13281251615824002,0.6042343518257496
forwards,0.15251726929079434,0.3811263008925003
5.4,0.3769883014411982,0.2229515168181706
259,-0.618662813085713,0.8900316935158313
Kai,-0.6550525751595898,0.9016734713978627
criticize,-0.2664390603706049,0.7063239329250626
disappoint,0.427467845078817,0.19693085418336598
Associations,1.1155827057668668,0.012977641591195077
shareholder,0.8191967255328796,0.04979770541402839
currencies,0.735080861019348,0.07077378658445899
RESULTS,0.47671686884326253,0.1674480646954295
acupuncture,0.5901743108520315,0.11407934591361268
pointers,-0.2293898998330309,0.6795139482700815
hull,0.0002843005371707328,0.49426097732123364
Stark,-1.2402902666147955,0.9938194685213131
Flames,0.3121568081547179,0.26848994750692
Beginners,0.7257885607044929,0.07501210056052288
Hostel,0.07265563914312885,0.44068786313901687
previews,0.18606098676442112,0.36087981540361924
Rx,0.3481425999076981,0.2440027845416921
peach,1.373864823576324,0.002917011519908419
terrified,1.2563655927174742,0.006255739267021165
statutes,0.2281470427832377,0.3219264900076966
DONT,-1.0693610115876144,0.9833730689298682
277,-0.4687070549621392,0.8247359966409996
pussies,0.9751629576482144,0.02558060443968646
Diagnostic,0.25562469713945934,0.3027888539535526
wary,0.04711183733718143,0.4646240553619122
fluorescent,0.770176097077554,0.06142737636305151
resign,0.4718664632061882,0.16905572507870903
psychologist,0.8066991839056864,0.05381160404357843
eclipse,-0.07488760026675889,0.549654548666749
rogue,0.1711381191671744,0.3638066966648721
incumbent,-0.1586853438458211,0.6243023981664821
Donovan,-1.183118555341969,0.9905883564784841
elders,0.1229067928577514,0.40705065087845205
gradual,-0.12030355064761751,0.5994549387879275
Dhabi,-0.20230682698720295,0.6575039716008679
coded,-0.8765124730432664,0.9590122992568071
cooks,1.2261549145687156,0.007213375792261889
460,-0.40142512746338266,0.7881647572909196
didn,-0.31093134218247986,0.7282631267144748
stripping,1.1180329638815212,0.012936234289045334
px,-0.008797641648648389,0.5056679464783013
Milf,1.4667326387694977,0.001711515726394608
unsecured,0.11404662059407794,0.40500376434045304
capacities,0.1648995086177505,0.3613627769079666
Horizontal,-0.5384967423277235,0.8605707215356732
carolina,1.732484114511138,0.00023252587266808789
Confidence,0.478874865377016,0.17271514192084503
experimenting,0.4473394895277725,0.186336829680662
pesticides,0.7823788288220452,0.05868105345108976
minors,0.6576041507923271,0.09530587300290405
jesus,-0.582167776126484,0.8806397333427469
dev,-0.6326405631037593,0.8939882331352705
separates,0.7870674877387709,0.05538269396371265
imaginative,0.8083679936352461,0.05412824408134431
banging,-0.5354759336247688,0.8585726240079379
860,-1.6283279131510306,0.9994518779588221
Lyricsby,0.25432270525711653,0.30989928988689996
Sgt.,-0.6095228208406692,0.8922490411666805
neon,-0.18915831894095383,0.645330292624416
Genres,0.22626107732556183,0.3295949948460062
poetic,1.213650411671032,0.007425853790842596
ineffective,0.12569888680657254,0.4088329935737598
malls,0.42585035494381396,0.19450753617099992
linebacker,-0.63877119925176,0.8960496639031541
characterization,-0.15321071493277572,0.6236336907298665
Franco,-1.6642048843574195,0.999587557723394
marching,-0.5536188864747105,0.8663150619097666
Quincy,-1.1401829796487268,0.9886090464211702
optic,-0.5434049066482507,0.8611867737949193
Torch,0.40062001824220794,0.21345646173706667
Bethlehem,0.8522377475449274,0.04766839587689564
Tory,0.4329267680742831,0.19192431485337957
Illustrations,0.7934248535963032,0.05617139478960009
stray,0.12962532800970075,0.39788357246646755
declares,0.4475392067447623,0.1855979526355247
carbohydrates,1.0168372484712738,0.021122083330828212
Clemson,0.31035181936340805,0.2620785062604001
268,-0.8014708745598272,0.9462537618676657
406,-0.5573440125249554,0.8711707269051112
crushing,0.3471961487145038,0.24355316817169592
LTE,-0.34653673938565865,0.756282081591012
Installing,0.04361568288870097,0.4700078158049903
dentists,1.0853424572761177,0.014469580199631182
Exp,-0.3848990078565915,0.7820644820757672
FIND,0.3951613891274581,0.2153416047530079
Clarence,-1.0119317152540734,0.9790207902808777
SMALL,0.09840786278747288,0.4198053855973428
inline,-0.7714736498061039,0.9368861891899707
hotter,-0.22267738770762155,0.6708907561430622
dime,0.5472832442629348,0.1330036849470284
Protected,0.4817600151743254,0.16798160004766804
Cruiser,0.2837494691630064,0.2882697599577917
12V,-0.20951104140494525,0.6584959072458831
distal,0.7780454093247519,0.06408443391233243
defenses,-0.11833775654012207,0.6040259954076954
ben,-1.4244164854692338,0.9976500861814499
Q1,0.11927845961753765,0.4065187743799784
dpi,0.2007834763536312,0.33819746682664653
Shelley,1.5343932405022438,0.0011064145819784654
earns,0.37700254754591683,0.22398274779728888
Carmel,1.0442824885102537,0.016486198334539903
Livingston,0.38264162596233336,0.22107237181312334
tsunami,0.3759002370501819,0.226669909545536
deposition,-0.03150507458404793,0.523697778746504
Presley,-0.41915360514240624,0.7933853277225843
schooling,0.6119831425432836,0.10886952421945462
sharks,0.9394876163617049,0.031253522430023994
condom,0.09680693201885798,0.41787075062450074
graceful,1.349965810831671,0.003460817770315261
Paramount,0.22104271941814782,0.32546046390810635
Allergy,1.2302902051534828,0.007429067648730636
Newly,0.5520692905937202,0.13334008427960464
CFR,0.27936036516200546,0.2844993410766645
swine,0.3894029401830134,0.2159968768126994
Lodging,0.04557525892410046,0.4675768996034634
