,female_effect_size,female_p_value
",",-0.498228189990796,0.8308547028781001
.,-0.5599252855413335,0.8558411167921658
the,-0.5612345677954262,0.8607393513149408
and,-0.5783581370562643,0.8659696731460247
to,-1.151580726686935,0.9870384556549048
of,-0.8405129103351702,0.948565284756568
a,-0.8208228906681593,0.9447641772254742
in,-0.8359406193456574,0.942569936510753
"""""""""",-0.5412723367185895,0.8507496269895327
:,-0.609701076707077,0.8835303705401781
is,-0.687383764124912,0.9085640978121868
for,-0.95249149111057,0.968932242714624
I,-0.7732330414125946,0.9331349444510363
),-0.45242843212321304,0.8127286218428051
(,-0.5177702602727012,0.8412957883363743
that,-0.6480459073862985,0.8908573956430794
-,-0.51888282949733,0.8381884579289016
on,-0.8681783508744451,0.9539654105178885
you,-0.7995289634717302,0.9372191993665299
with,-0.6111782800223259,0.8757702849355948
's,-0.5719239286873685,0.866159129471423
it,-0.7889380707314652,0.9349457781681967
The,-0.557757946154437,0.8581392271587607
are,-0.41384374301260335,0.7864998071545359
by,-0.9942046236139386,0.9713549898504072
at,-0.9761379219769257,0.9711729081812202
be,-0.9830718925850614,0.97097883975844
this,-0.5559929190118369,0.8621362532113443
as,-0.6800756269855656,0.9129747409054075
from,-0.8253722038836174,0.9452375714789304
was,-0.8780148639746186,0.954122390268048
have,-0.6947222840107415,0.9093450442203147
or,-0.9241704869926713,0.9617487064765605
...,-0.3492669136663477,0.7474766181869024
your,-0.6972860992224237,0.9121809900542299
not,-0.34114912752475923,0.7441446312808124
!,-0.4507199599433405,0.8081733194800189
?,-0.5524037752564646,0.8523888367439325
will,-1.392765382450538,0.9964431970123847
an,-0.7918179247355696,0.939726496581432
n't,-0.7107036648329998,0.9165130185821314
can,-1.0454420101776305,0.9781355924853214
but,-1.297200383917457,0.9941779529155532
all,-0.9081392193778075,0.9610673999574371
my,-1.2504741513082196,0.9925611804230988
has,-0.6500362388936245,0.8948470204375483
|,-0.8188979464120305,0.9436784215585927
do,-0.8751726756894002,0.9510402797453895
we,-0.636395872549721,0.8891991901679299
they,-0.08629344760446636,0.5622400362355047
more,-0.6871715248857494,0.9072316501261426
one,-0.9399961224449446,0.9651739313995181
about,-0.6667245249629647,0.9036438064429146
he,-0.9738212872091666,0.9680203951388431
;,-0.4734128332629071,0.815751256685874
',-0.4670350286463973,0.8199625547647225
out,-0.8675046692314996,0.9557781917240116
$,-0.9679477057569273,0.9684553450816205
their,-0.2483360691018943,0.688152921346453
so,-0.6465484224388529,0.8943762921017455
his,-0.8990347006118122,0.9576927944867166
up,-0.9881383393068195,0.9713874852920736
It,-0.7038221665606034,0.9141036210755348
&,-0.5940874998726395,0.8714983848324163
like,-0.4618370862640003,0.8136270412634864
/,-0.5252209780573802,0.8418377084803725
1,-1.0048180096475288,0.973630701597124
which,-0.804582705857969,0.9395940579541153
if,-0.513350958627491,0.8391922300427644
would,-0.6695611513069355,0.9050286163218666
our,-0.8461845588900906,0.9500321107566831
[,-0.7979534356494205,0.9385165084639753
],-0.40913855831784357,0.7852011039719848
me,-0.6501509157402903,0.894310660225871
who,-0.5227178755401661,0.8415201764383573
just,-0.8122905970758886,0.9420340337361226
This,-0.5196114557219754,0.8482259789481897
time,-0.9853561206785217,0.9722342405840334
what,-0.6628187997643188,0.9009221425190002
A,-0.7846196664063745,0.9351430991085811
