,female_effect_size,female_p_value
",",-1.0118432086872828,0.9748860038425612
.,-0.8887952917981928,0.9566612628405431
the,-0.6872484860862211,0.9089322242584041
and,-1.0273074911914328,0.9774641720789392
to,-0.8776392535063663,0.9574565032357784
of,-1.091210971503232,0.9835279067834192
a,-0.8770126186079503,0.9540735418189636
in,-0.9158708940366237,0.9623994911834772
"""""""""",-0.8129349572601308,0.9443524773482456
:,-0.9074242460185027,0.9604325238095781
is,-0.5257349510694848,0.847616882554512
for,-1.1342047276636797,0.9853956814556676
I,-0.9792992144073699,0.9705934649999659
),-0.8549242175125767,0.9496550082014358
(,-1.0205485885828733,0.9775177520533047
that,-0.7826514802761205,0.9365888300513578
-,-1.017162311015386,0.9738952314461715
on,-0.7783640296655082,0.9346729295466292
you,-0.7685177715257435,0.9303421775895665
with,-0.8868981907302816,0.9557165099759183
's,-0.645962771435245,0.8928481890273798
it,-0.6079408107303137,0.8784261401231708
The,-0.7453369313093137,0.9263918391480498
are,-0.6082188358760104,0.8804588974165614
by,-0.9927261283673817,0.9732826202500285
at,-0.8878917321386489,0.9537356183451464
be,-0.7981831927189887,0.9379512643106469
this,-0.6928206670909132,0.9071374464355947
as,-0.8509194028411626,0.9480469782890679
from,-0.8202035820754439,0.9436953916088363
was,-0.6132102248491492,0.8806524300936468
have,-0.6870907267101286,0.9049054828228811
or,-0.8414618861654128,0.9474514543760638
...,-1.0551035299311498,0.9784667269374059
your,-0.632759723159397,0.8919329166296958
not,-0.6373768870429817,0.8879997813395559
!,-1.0096236577284292,0.975404423743718
?,-1.0817739780700306,0.9828641576603154
will,-1.2201777577684316,0.9910744368593152
an,-0.9387542416737128,0.9629260893597257
n't,-0.6964559565892464,0.9094026094832406
can,-0.9109698698678765,0.9596475844084023
but,-1.0420622500091692,0.9779392090125667
all,-0.8935884123237762,0.9585624620929264
my,-0.6308413824447845,0.8898128380313051
has,-0.6214786244613516,0.8880359068865944
|,-1.10938266797121,0.9848641766890833
do,-0.7806064163719917,0.9356763915475397
we,-0.602974467238404,0.87661314054908
they,-0.5459354447604401,0.8606574955921427
more,-0.8695064456082614,0.9546113243982085
one,-1.0003608941266202,0.9724596745379017
about,-0.7153577692857166,0.9146485616447146
he,-0.6483782948553752,0.8969969841007968
;,-0.830070523159002,0.9451125485826886
',-0.8197043541678879,0.9429455191203753
out,-0.7212159114682706,0.9208229231695613
$,-1.0650175505144415,0.9807979109516712
their,-0.5260619114824328,0.8431440444146872
so,-0.9524336640106807,0.9671880896142975
his,-0.7533077379648001,0.9233783024623982
up,-0.9808647003699779,0.9690663197536156
It,-0.6646473566698389,0.898465440080031
&,-0.9670437812293173,0.9681534456872434
like,-0.8763185316812617,0.9549376502291353
/,-0.7243327288311521,0.920072646058109
1,-1.1896890309391988,0.9889854971923535
which,-0.5127395141100808,0.8359851778091055
if,-0.7455337931264059,0.9269279369921388
would,-0.6034158083825251,0.8779564898054788
our,-0.6149904866629915,0.8802615614057755
[,-0.939805649243117,0.9661183108858332
],-0.9858273712661512,0.9727400726997777
me,-0.544490261215397,0.8552609505627136
who,-0.6137706938251761,0.8820695112624047
just,-1.1066663504290686,0.9846795472948802
This,-0.5840010844608746,0.8759914323138003
time,-1.4769697813146736,0.9980467510277008
what,-0.8405464520864608,0.9429133209979356
A,-0.9305029733551676,0.9632838075388325
2,-0.6803594349758464,0.9062012851405004
had,-0.7761916132486951,0.9334549232816703
when,-1.0295438570368536,0.9760186117113262
there,-0.5293951602854254,0.8514580390082573
