,word,female_effect_size,p_value,pos
91,her,0.942021684863057,0.0300623442752352,"[""her""/INTJ]"
120,she,0.8694903772207089,0.0425075235678957,"[""she""/VERB]"
280,She,0.9230477995992256,0.03190973370671,"[""She""/VERB]"
424,~,1.120384121144623,0.0118137607751102,"[""~""/SYM]"
439,women,0.8675730287710971,0.0412053103574989,"[""women""/INTJ]"
627,beautiful,1.4434946658148835,0.0022407482816615,"[""beautiful""/INTJ]"
653,class,0.8517673761134402,0.0435345614861646,"[""class""/NOUN]"
672,Health,0.8676539180678637,0.0424442018090513,"[""Health""/NOUN]"
694,hot,0.9905749960764574,0.0246763075681315,"[""hot""/INTJ]"
731,couple,1.00413038611233,0.024291424345047,"[""couple""/INTJ]"
740,date,1.3945696482808,0.0026738285925307,"[""date""/NOUN]"
752,photos,0.9646539127372994,0.0270899495720096,"[""photos""/NOUN]"
771,girl,0.9979677302408828,0.0228413991493472,"[""girl""/INTJ]"
810,woman,0.8787499859405752,0.0422110772168787,"[""woman""/INTJ]"
885,model,1.1680951132647297,0.0098741620358512,"[""model""/NOUN]"
912,pictures,1.188268812098516,0.0088840574856754,"[""pictures""/NOUN]"
924,hair,1.0839485984562016,0.0153352111905907,"[""hair""/PUNCT]"
1039,girls,0.9824888742177698,0.0257384493028827,"[""girls""/INTJ]"
1049,Women,1.0004938807098327,0.0222673182115363,"[""Women""/INTJ]"
1109,skin,0.9387957015630268,0.0292666409221974,"[""skin""/NOUN]"
1153,wonderful,0.913932038479556,0.0334055291630837,"[""wonderful""/INTJ]"
1174,info,0.8580989824489014,0.0427135017775457,"[""info""/NUM]"
1210,mother,0.8878708424481914,0.0395957316616104,"[""mother""/NOUN]"
1252,wedding,1.276968889447464,0.0050814073622519,"[""wedding""/NOUN]"
1331,stories,0.8846629913673526,0.0362761004160971,"[""stories""/NOUN]"
1391,relationship,1.19963184630096,0.0078298647601388,"[""relationship""/NOUN]"
1414,Food,0.8449287455872136,0.0453112831097208,"[""Food""/NOUN]"
1429,Her,1.1915135360876827,0.0077669241548876,"[""Her""/INTJ]"
1466,Hot,1.1694969249334992,0.0102438247520598,"[""Hot""/INTJ]"
1494,rooms,1.022458956350338,0.0234723958943244,"[""rooms""/NOUN]"
1570,cell,1.103694158527269,0.0130231237815111,"[""cell""/INTJ]"
1624,shopping,1.1676891243408825,0.0097272007427307,"[""shopping""/NOUN]"
1625,Mary,0.8578130118423193,0.04427976032431,"[""Mary""/PROPN]"
1644,cancer,1.4799920998231308,0.0016598514418746,"[""cancer""/NOUN]"
1667,updated,1.2322305666954625,0.0068485191965261,"[""updated""/INTJ]"
1698,sweet,0.9079473437432656,0.0367917969169604,"[""sweet""/INTJ]"
1711,models,1.042059628719055,0.019224276299113,"[""models""/NOUN]"
1752,kitchen,0.8482117947748616,0.044042584913059,"[""kitchen""/NOUN]"
1763,older,0.8351182496795854,0.0482146848034672,"[""older""/ADJ]"
1811,Wedding,1.1959812031155048,0.0088791772983329,"[""Wedding""/VERB]"
1849,FREE,0.879640796046907,0.0408962555311118,"[""FREE""/INTJ]"
1854,Plus,1.0523693652091912,0.0174323739307357,"[""Plus""/PUNCT]"
1893,shoes,0.8212353271408429,0.0496318999303876,"[""shoes""/NOUN]"
1900,Model,1.1338844100869985,0.0115728748537645,"[""Model""/NOUN]"
1908,fashion,1.164188638681829,0.0092837458448734,"[""fashion""/INTJ]"
1947,cute,0.9267847978644814,0.0309715491436753,"[""cute""/INTJ]"
1958,dress,1.4452827287640442,0.0021546064795833,"[""dress""/NOUN]"
1977,colors,1.0512870563218686,0.0182186166069018,"[""colors""/NOUN]"
1995,shipping,0.8583824318071027,0.0455007855249963,"[""shipping""/NOUN]"
2016,sharing,0.8353224900005426,0.0471026770106902,"[""sharing""/VERB]"
2047,beauty,1.3611598919855872,0.0031998655992644,"[""beauty""/INTJ]"
2058,Girl,0.9582541667865044,0.0270097941768642,"[""Girl""/INTJ]"
2074,Girls,0.9436997557199124,0.0286099814218389,"[""Girls""/INTJ]"
2094,Gallery,1.1366292042237598,0.0115974917964414,"[""Gallery""/NOUN]"
2117,classes,1.0190581088937685,0.0214729672251774,"[""classes""/NOUN]"
2143,Sex,0.9521759617101556,0.0279782494440993,"[""Sex""/VERB]"
