,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""$""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.9782753455109716
"""'""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""")""/PUNCT]",0,0,0,1,5,17,N/A,N/A,N/A,1.1032874124689065,0.9638580059447588,0.9731972911752216
""")""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8706340153734438
""")""/X]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8689908742829993
"""++""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""".""/PUNCT]",0,1,1,2,4,11,N/A,1.4789618430817146,1.4789618430817146,1.4704573821133298,1.3818552050436421,1.1602019342045338
""".""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""".""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""00""/SYM]",0,0,1,1,1,1,N/A,N/A,1.0007972452583838,1.0007972452583838,1.0007972452583838,1.0007972452583838
"""0000""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0001""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.154052191214193
"""01""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.9966417990589764,0.9966417990589764
"""0100""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""01:00""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8684949674920394
"""02""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.9910392450610016,0.9910392450610016
"""0200""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
