,word,female_effect_size,p_value,pos
37,?,-0.8297733452738707,0.9510325278317026,"[""?""/SYM]"
55,',-1.0643762931301892,0.9834492469288472,"[""'""/SYM]"
60,his,-0.8381216714647706,0.951679276152454,"[""his""/INTJ]"
71,[,-0.9079949760053408,0.9651301159352004,"[""[""/SYM]"
158,great,-0.822799900440271,0.9515481658723894,"[""great""/INTJ]"
173,views,-0.9210081559749288,0.966648401088759,"[""views""/INTJ]"
239,game,-0.9731075236843596,0.9721951027121328,"[""game""/INTJ]"
309,man,-0.9889145785714518,0.975972949831022,"[""man""/INTJ]"
317,against,-0.8569303387605735,0.956807956369001,"[""against""/INTJ]"
325,Of,-0.8422468901985558,0.9550721199256365,"[""Of""/INTJ]"
332,team,-0.9059977799200634,0.9645292397251072,"[""team""/INTJ]"
363,God,-0.9347848169616424,0.9689497604391082,"[""God""/INTJ]"
383,From,-0.8323551796750395,0.9514986984052142,"[""From""/INTJ]"
389,power,-0.9519352227902336,0.9707231025496152,"[""power""/NOUN]"
403,United,-0.8706796027268435,0.9601655554251624,"[""United""/INTJ]"
410,John,-1.1427724094095475,0.9895707424935796,"[""John""/INTJ]"
500,£,-0.9137858983822076,0.9663497677354989,"[""£""/SYM]"
504,points,-0.8713637167754494,0.9596299122687092,"[""points""/NOUN]"
507,games,-0.9008889701266352,0.9634629294996432,"[""games""/NOUN]"
604,Internet,-0.8705709478500302,0.9584181436048488,"[""Internet""/NOUN]"
609,Great,-1.1868763479998357,0.9911129792681922,"[""Great""/INTJ]"
666,His,-0.9544559917918192,0.9731667340233598,"[""His""/INTJ]"
670,Windows,-1.3969998085192323,0.9972766222085172,"[""Windows""/NOUN]"
689,Re,-1.240129224323767,0.993214371277592,"[""Re""/INTJ]"
730,OF,-0.9147469474594192,0.9683002182872008,"[""OF""/INTJ]"
744,C,-1.0558154861246745,0.9825626633797052,"[""C""/SYM]"
758,David,-1.202357994348405,0.9917463416106256,"[""David""/INTJ]"
792,San,-0.9450091553308289,0.9711586253786234,"[""San""/PROPN]"
793,Google,-0.8573574822177102,0.9571381052137397,"[""Google""/NOUN]"
824,guys,-0.9204387570035942,0.9674442040148676,"[""guys""/INTJ]"
838,guy,-1.0052791555316312,0.9765757880265188,"[""guy""/INTJ]"
850,Mr.,-1.14558063563375,0.9888584282936772,""".""/PUNCT]"
861,general,-1.1278687883965417,0.9879994033170828,"[""general""/INTJ]"
871,Part,-0.8871299208605448,0.9626168891657164,"[""Part""/NOUN]"
898,security,-0.9366411239943198,0.9682514881861198,"[""security""/NOUN]"
920,St.,-0.8576027268855813,0.9561722502802588,""".""/PUNCT]"
929,James,-1.0928415808008882,0.9851066629446584,"[""James""/PROPN]"
949,Green,-0.8877004235985267,0.961005801597708,"[""Green""/INTJ]"
952,players,-1.342863383286905,0.9962033058916578,"[""players""/NOUN]"
960,General,-1.2933404893976332,0.9953586088022872,"[""General""/INTJ]"
975,Paul,-1.256666225713317,0.9943034881483518,"[""Paul""/INTJ]"
981,Power,-1.1209157659857762,0.9870557950681071,"[""Power""/NOUN]"
982,player,-1.366003431651657,0.9970686615429696,"[""player""/NOUN]"
992,according,-0.855770053259976,0.9552827719878934,"[""according""/VERB]"
1000,Michael,-1.0426224039804348,0.9801727948841724,"[""Michael""/PUNCT]"
1067,build,-0.8974749703805762,0.9634616492318347,"[""build""/INTJ]"
1129,war,-1.0893402810305184,0.9851944306227174,"[""war""/INTJ]"
1139,System,-1.0481747180194838,0.9815388596847124,"[""System""/PROPN]"
1164,land,-0.8770176336301616,0.9606951398491598,"[""land""/NOUN]"
1165,Game,-1.1614801276121225,0.9895575310759596,"[""Game""/INTJ]"
1167,Back,-0.8920956404650954,0.964300906089372,"[""Back""/INTJ]"
1170,band,-0.9448987849054024,0.971204228050987,"[""band""/SYM]"
1178,built,-0.9987665066158266,0.9771564354954582,"[""built""/VERB]"
1182,himself,-1.0560260876456735,0.9825757905424644,"[""himself""/INTJ]"
1185,II,-0.976714502393728,0.9768736262502856,"[""II""/PUNCT]"
1208,King,-1.2366372994338586,0.9934637565028256,"[""King""/INTJ]"
1223,Will,-0.9205873210128892,0.9655805550891484,"[""Will""/INTJ]"
1248,No.,-0.9775378486978208,0.9751943173195534,""".""/PUNCT]"
1265,Software,-1.2908220588218375,0.9950248123019,"[""Software""/NOUN]"
1275,D,-1.1142165370341992,0.9874119650932393,"[""D""/SYM]"
1276,Man,-1.072997008361572,0.9825823064345248,"[""Man""/INTJ]"
