,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""$""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""'""/PUNCT]",0,0,0,0,1,2,N/A,N/A,N/A,N/A,-0.8746468824993539,-1.0490723099820483
""")""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""")""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""")""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""++""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-0.996306333698365,-0.996306333698365,-0.996306333698365
""".""/PUNCT]",3,10,12,21,41,92,-0.993573737072384,-1.1034167722045045,-1.1035615236119563,-1.125057287654684,-1.1190713659985223,-1.0782130053868493
""".""/SYM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.1501052768809723,-1.1501052768809723,-1.1501052768809723
""".""/X]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.044560819224669,-1.044560819224669
"""0""/SYM]",0,1,1,1,1,1,N/A,-0.9121248144409972,-0.9121248144409972,-0.9121248144409972,-0.9121248144409972,-0.9121248144409972
"""00""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0000""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.994335841698002
"""0001""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""01""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0100""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-0.89861931648002,-0.89861931648002
"""01:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""02""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0200""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.2097233381481671,-1.2097233381481671
"""02:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""03""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""04""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""05:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""06""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""07""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""0700""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.1603506213923438,-1.1603506213923438,-1.1603506213923438
"""08""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""08""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8092261751330481
"""0800""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.354206448532713,-1.354206448532713
"""09""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""1""/SYM]",0,0,1,1,1,1,N/A,N/A,-1.1639590101465185,-1.1639590101465185,-1.1639590101465185,-1.1639590101465185
"""1.1""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""1.2""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""1.3""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""10""/NUM]",0,0,0,2,3,6,N/A,N/A,N/A,-1.1575663618870689,-1.1101569920619896,-1.0236679509254636
"""10""/SYM]",0,0,0,1,1,2,N/A,N/A,N/A,-0.9558303339566222,-0.9558303339566222,-0.9784909099397743
"""100""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.9044532435539436
"""1000""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3588810530682158
"""10:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""11""/NUM]",0,0,0,2,3,3,N/A,N/A,N/A,-1.291592392081204,-1.32147430842893,-1.32147430842893
"""11""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1042000245276764
"""11:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""12""/NUM]",0,0,0,1,2,3,N/A,N/A,N/A,-1.099166367935648,-1.0284616979190024,-1.112632214400363
"""13""/NUM]",0,0,0,0,2,2,N/A,N/A,N/A,N/A,-1.242533522187651,-1.242533522187651
"""13""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8327998549351365
"""14""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.351077600797968,-1.351077600797968
"""15""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.2338328931702416,-1.2338328931702416
"""16""/NUM]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.1490969423886883,-1.1490969423886883
