,x,y,word,cluster
?,-19.609158,26.132265,?,1
',-13.84509,-10.370984,',2
his,-10.12643,31.513035,his,10
[,-13.989165,-23.574642,[,4
great,-17.976023,26.748999,great,1
views,9.683044,-9.170664,views,4
game,7.7631297,12.191424,game,5
man,-9.160185,31.292118,man,10
against,-12.255707,30.257467,against,10
Of,-12.443862,-15.513674,Of,2
team,-6.227532,17.227808,team,5
God,20.365175,32.19708,God,3
From,-23.538687,-15.759135,From,2
power,-0.95068985,30.182085,power,1
United,-1.5115191,-5.1402664,United,8
John,-33.519344,2.5038376,John,7
£,32.471157,-9.111573,£,4
points,-2.0788484,19.390257,points,4
games,10.520848,11.303615,games,5
Internet,14.276798,-27.81042,Internet,0
Great,-22.516638,-14.353302,Great,2
His,-13.826535,1.2620593,His,3
Windows,36.263695,-16.806683,Windows,0
Re,19.6743,-12.843038,Re,4
OF,29.77496,-7.823775,OF,4
C,-2.2125657,-15.210932,C,4
David,-34.78973,2.6644588,David,7
San,0.6405519,-4.592753,San,8
Google,10.286253,-29.17582,Google,0
guys,-12.708973,28.492188,guys,10
guy,-11.979176,29.278975,guy,10
Mr.,-15.409701,-4.296535,Mr.,7
general,-17.06667,26.454819,general,1
Part,-13.558601,-19.396519,Part,2
security,19.913311,15.01822,security,1
St.,-0.4777079,-4.1311426,St.,8
James,-35.212215,2.0223908,James,7
Green,-10.418003,-17.34642,Green,2
players,5.78267,13.115926,players,5
General,-11.135697,-18.638323,General,9
Paul,-32.622944,2.2043865,Paul,7
Power,-0.5324616,-21.60987,Power,9
player,5.544815,14.396921,player,5
according,-16.097813,27.004272,according,1
Michael,-43.448036,5.6984653,Michael,7
build,-10.57882,21.260708,build,1
war,5.164104,28.777157,war,10
System,10.241583,-24.972706,System,9
land,-3.5301802,29.704817,land,10
Game,7.412062,-3.6484385,Game,5
Back,-23.150724,-16.124462,Back,2
band,14.562285,18.94351,band,1
built,-9.983057,21.676851,built,1
himself,-8.045855,32.1077,himself,10
II,-5.55959,-14.003218,II,2
King,-18.392437,-11.919361,King,2
Will,-21.52605,24.78919,Will,2
No.,14.253356,-10.398854,No.,4
Software,33.111645,-20.328327,Software,0
D,-3.3173704,-15.626906,D,4
Man,-18.766521,-12.603972,Man,2
Series,9.000312,-19.313807,Series,9
War,-5.6102443,-6.792561,War,2
St,18.413763,-9.50992,St,8
solution,19.19987,11.862544,solution,1
Mark,-35.965023,4.0966463,Mark,7
George,-31.731071,-2.3244603,George,7
Security,20.548006,-14.865272,Security,9
Jesus,21.087057,31.955814,Jesus,3
Microsoft,34.887955,-19.03345,Microsoft,0
pass,-1.182757,21.592125,pass,1
engine,27.68956,12.472487,engine,1
Sports,6.9257984,-1.4022678,Sports,5
England,-1.7744131,-4.6337094,England,8
fans,3.5928922,16.054102,fans,5
charge,-11.666412,24.398197,charge,1
Robert,-33.582584,-0.2898793,Robert,7
Brown,-25.268234,-9.764832,Brown,7
W,15.807867,-14.403,W,4
PC,11.844452,-28.306955,PC,0
Old,-13.190265,-14.443224,Old,2
Team,0.014448744,-9.504162,Team,5
fan,-4.4251943,20.741732,fan,1
Chicago,-29.359686,-21.812181,Chicago,8
Bill,-28.057209,-7.0681605,Bill,7
trade,3.103814,19.082706,trade,1
fight,2.6372206,27.82834,fight,10
William,-16.213366,-4.221404,William,7
Chris,-41.551704,-0.98960215,Chris,7
200,-14.884354,-29.167141,200,4
ball,6.4404984,16.806866,ball,1
Bay,0.53405076,-5.2784204,Bay,8
Smith,-46.62671,8.121589,Smith,7
military,15.832024,24.9371,military,10
Mike,-43.644314,0.012598963,Mike,7
iPhone,33.260117,-19.20207,iPhone,0
poor,-7.602782,28.895884,poor,10
Lord,20.623169,31.102325,Lord,3
led,-13.327093,29.195509,led,10
construction,10.914951,17.303165,construction,1
sports,4.47705,15.254864,sports,5
dead,-9.335234,29.567144,dead,10
Rock,-16.363462,-16.228495,Rock,2
Thomas,-30.080515,-4.2695184,Thomas,7
