,Valence,Dominance,Arousal,Frequency,Effect_Size,P_Value
aaaah,0.52,0.636,0.282,2.57,0.4682088205828161,0.1739881722065646
aardvark,0.427,0.49,0.437,2.39,-1.0591065295797666,0.9814839539389644
aback,0.385,0.407,0.288,2.99,0.2742629143562241,0.2914119269176797
abacus,0.51,0.276,0.485,2.65,-0.1656615972900335,0.6289379611879757
abalone,0.5,0.48,0.412,2.66,0.3887111995930916,0.2222085888561216
abandon,0.052,0.519,0.245,4.02,-0.3163681439819852,0.7385833372082384
abandoned,0.046,0.481,0.13,4.4,-0.2701590091444533,0.7073376524045539
abandonment,0.128,0.43,0.202,3.4,0.709950113481919,0.0750989571954321
abashed,0.177,0.644,0.307,1.79,-0.2567865084144147,0.7029617594534747
abate,0.255,0.696,0.604,2.68,-0.4302370274818337,0.8141177053453494
abatement,0.388,0.338,0.336,2.73,-0.3751848654004378,0.7739754679723325
abba,0.562,0.5,0.48,3.15,0.1093830716157532,0.413348397752039
abbey,0.58,0.367,0.444,3.88,0.373856078596443,0.2255045680186346
abbot,0.427,0.321,0.483,3.43,-1.2260142406469057,0.9930083104955358
abbreviate,0.531,0.375,0.33,2.23,0.1625157570346475,0.3724327141896699
abbreviation,0.469,0.306,0.345,3.14,-0.1537915755575198,0.6190722090755099
abdomen,0.469,0.462,0.471,3.56,0.5661222073246209,0.1254752273072295
abdominal,0.49,0.456,0.445,3.58,0.3568582894291474,0.2311914798480949
abduct,0.173,0.72,0.615,2.74,0.2371773546244596,0.3182876737491951
abduction,0.062,0.99,0.673,3.43,0.5709279974577148,0.1235018127819098
aberrant,0.146,0.765,0.431,2.69,0.0906362435718424,0.4261556672757312
aberration,0.125,0.816,0.417,2.98,-0.1445695509358741,0.6182996428470544
abeyance,0.33,0.51,0.292,2.36,-0.3266259022101546,0.7420227355517746
abhor,0.125,0.602,0.349,2.64,-0.3473158757452182,0.7542150898969315
abhorrence,0.167,0.684,0.42,2.19,-0.3401196491833905,0.7509317312214714
abhorrent,0.229,0.75,0.474,2.97,-0.379353013440198,0.7805519217907966
abide,0.635,0.354,0.705,3.59,-0.5910144412333981,0.8807343241563268
abiding,0.796,0.327,0.75,3.45,-0.6063785807531685,0.8885914888427133
ability,0.875,0.51,0.816,4.96,-0.2799721421047715,0.7066424012736121
abject,0.354,0.59,0.417,3.0,-0.2360478286636968,0.6847194943449308
ablation,0.418,0.5,0.5,2.77,0.5959351156651731,0.1177744846932633
ablaze,0.24,0.847,0.525,2.93,-0.0418496725188921,0.5361819753938826
able,0.786,0.5,0.81,5.43,-0.2931420010360064,0.7254852350449621
abnormal,0.137,0.604,0.309,3.71,0.4577765559156964,0.1781732786905048
abnormality,0.092,0.655,0.383,2.89,0.7322744291156822,0.0742298097427121
aboard,0.698,0.284,0.481,4.14,-0.3236308986970913,0.7408117186609939
abode,0.62,0.302,0.5,3.13,-0.6492039298056641,0.9006594770614205
abolish,0.448,0.615,0.529,3.48,-0.7140460550320702,0.9255260976815746
abolition,0.323,0.69,0.529,3.51,-0.5154731987244294,0.8513939902699208
abominable,0.12,0.731,0.482,2.85,-1.2586215530375278,0.99433648510099
abominate,0.198,0.788,0.366,1.18,-0.0052362342235723,0.4975692368167199
abomination,0.078,0.755,0.518,3.13,-1.1808149230863478,0.9900448366034142
aboriginal,0.448,0.427,0.542,3.78,0.169828321596017,0.3715469375434619
abort,0.153,0.686,0.429,3.27,1.291509073690792,0.004881400730741
abortion,0.082,0.77,0.283,4.24,1.2017955562849214,0.0074651700346568
abortive,0.09,0.776,0.28,2.67,-0.030413961048983,0.5289321196219713
abound,0.704,0.49,0.681,3.27,-0.1338198789937071,0.6051012718100678
abovementioned,0.541,0.298,0.509,2.11,0.1259955543458993,0.4021605062004603
abracadabra,0.673,0.632,0.434,2.19,0.038123051566911,0.4735966092942939
abrasion,0.406,0.592,0.441,2.91,0.4237446064625659,0.1978914603744119
abrasive,0.392,0.61,0.593,3.22,-0.4514181615623699,0.8173796275679359
abreast,0.635,0.38,0.519,2.95,0.3768892431318857,0.2265442903933098
abroad,0.677,0.596,0.561,4.39,0.0550044517144881,0.4524928817110588
abrogate,0.327,0.51,0.594,2.08,-0.4256004184328717,0.8024233403209449
abrupt,0.271,0.819,0.545,3.38,-0.1049486941981391,0.5794830250369823
